County,Units,Year,2016 Population Over 19
Carlow,1149,2010,40635
Carlow,1084,2011,40635
Carlow,917,2012,40635
Carlow,827,2013,40635
Carlow,1200,2014,40635
Carlow,1473,2015,40635
Carlow,1761,2016,40635
Carlow,1541,2017,40635
Carlow,1548,2018,40635
Cavan,1060,2010,53339
Cavan,1028,2011,53339
Cavan,817,2012,53339
Cavan,676,2013,53339
Cavan,1041,2014,53339
Cavan,1391,2015,53339
Cavan,1606,2016,53339
Cavan,1486,2017,53339
Cavan,1251,2018,53339
Clare,2056,2010,85335
Clare,2077,2011,85335
Clare,1577,2012,85335
Clare,1362,2013,85335
Clare,2039,2014,85335
Clare,2670,2015,85335
Clare,3151,2016,85335
Clare,2729,2017,85335
Clare,2668,2018,85335
Cork,11209,2010,394491
Cork,11300,2011,394491
Cork,9475,2012,394491
Cork,8848,2013,394491
Cork,11870,2014,394491
Cork,15290,2015,394491
Cork,18808,2016,394491
Cork,16520,2017,394491
Cork,15233,2018,394491
Donegal,2404,2010,113293
Donegal,2106,2011,113293
Donegal,1839,2012,113293
Donegal,1681,2013,113293
Donegal,2326,2014,113293
Donegal,2993,2015,113293
Donegal,3523,2016,113293
Donegal,2943,2017,113293
Donegal,2609,2018,113293
Dublin,31299,2010,1008658
Dublin,34387,2011,1008658
Dublin,33155,2012,1008658
Dublin,32031,2013,1008658
Dublin,39183,2014,1008658
Dublin,50756,2015,1008658
Dublin,58286,2016,1008658
Dublin,54837,2017,1008658
Dublin,52697,2018,1008658
Galway,3961,2010,187576
Galway,3905,2011,187576
Galway,3165,2012,187576
Galway,2974,2013,187576
Galway,3789,2014,187576
Galway,5095,2015,187576
Galway,5843,2016,187576
Galway,4922,2017,187576
Galway,4767,2018,187576
Kerry,2347,2010,109810
Kerry,2020,2011,109810
Kerry,1740,2012,109810
Kerry,1474,2013,109810
Kerry,1979,2014,109810
Kerry,2696,2015,109810
Kerry,3229,2016,109810
Kerry,2820,2017,109810
Kerry,2661,2018,109810
Kildare,3438,2010,153465
Kildare,3459,2011,153465
Kildare,2920,2012,153465
Kildare,2873,2013,153465
Kildare,3842,2014,153465
Kildare,5092,2015,153465
Kildare,6046,2016,153465
Kildare,5278,2017,153465
Kildare,5307,2018,153465
Kilkenny,1688,2010,70918
Kilkenny,1845,2011,70918
Kilkenny,1546,2012,70918
Kilkenny,1454,2013,70918
Kilkenny,1890,2014,70918
Kilkenny,2361,2015,70918
Kilkenny,2823,2016,70918
Kilkenny,2407,2017,70918
Kilkenny,2343,2018,70918
Laois,1200,2010,58557
Laois,1169,2011,58557
Laois,905,2012,58557
Laois,891,2013,58557
Laois,1139,2014,58557
Laois,1466,2015,58557
Laois,1776,2016,58557
Laois,1527,2017,58557
Laois,1508,2018,58557
Leitrim,420,2010,23240
Leitrim,467,2011,23240
Leitrim,355,2012,23240
Leitrim,267,2013,23240
Leitrim,399,2014,23240
Leitrim,567,2015,23240
Leitrim,634,2016,23240
Leitrim,551,2017,23240
Leitrim,485,2018,23240
Limerick,3420,2010,142081
Limerick,3270,2011,142081
Limerick,2737,2012,142081
Limerick,2446,2013,142081
Limerick,3314,2014,142081
Limerick,4339,2015,142081
Limerick,5200,2016,142081
Limerick,4493,2017,142081
Limerick,4321,2018,142081
Longford,543,2010,28762
Longford,592,2011,28762
Longford,480,2012,28762
Longford,357,2013,28762
Longford,449,2014,28762
Longford,636,2015,28762
Longford,727,2016,28762
Longford,641,2017,28762
Longford,599,2018,28762
Louth,2181,2010,90671
Louth,2045,2011,90671
Louth,1639,2012,90671
Louth,1487,2013,90671
Louth,2132,2014,90671
Louth,2779,2015,90671
Louth,3153,2016,90671
Louth,2774,2017,90671
Louth,2798,2018,90671
Mayo,1891,2010,95608
Mayo,1740,2011,95608
Mayo,1518,2012,95608
Mayo,1365,2013,95608
Mayo,1825,2014,95608
Mayo,2413,2015,95608
Mayo,2816,2016,95608
Mayo,2277,2017,95608
Mayo,2169,2018,95608
Meath,2907,2010,133119
Meath,2710,2011,133119
Meath,2184,2012,133119
Meath,1961,2013,133119
Meath,2675,2014,133119
Meath,3739,2015,133119
Meath,4657,2016,133119
Meath,3900,2017,133119
Meath,3707,2018,133119
Monaghan,883,2010,43411
Monaghan,854,2011,43411
Monaghan,757,2012,43411
Monaghan,573,2013,43411
Monaghan,815,2014,43411
Monaghan,1065,2015,43411
Monaghan,1240,2016,43411
Monaghan,1052,2017,43411
Monaghan,996,2018,43411
Offaly,1206,2010,54824
Offaly,1132,2011,54824
Offaly,1096,2012,54824
Offaly,940,2013,54824
Offaly,1223,2014,54824
Offaly,1538,2015,54824
Offaly,1883,2016,54824
Offaly,1557,2017,54824
Offaly,1541,2018,54824
Roscommon,1043,2010,46874
Roscommon,927,2011,46874
Roscommon,831,2012,46874
Roscommon,683,2013,46874
Roscommon,927,2014,46874
Roscommon,1088,2015,46874
Roscommon,1420,2016,46874
Roscommon,1201,2017,46874
Roscommon,1051,2018,46874
Sligo,1055,2010,47802
Sligo,980,2011,47802
Sligo,768,2012,47802
Sligo,699,2013,47802
Sligo,888,2014,47802
Sligo,1128,2015,47802
Sligo,1317,2016,47802
Sligo,1147,2017,47802
Sligo,1086,2018,47802
Tipperary,2850,2010,114964
Tipperary,2846,2011,114964
Tipperary,2439,2012,114964
Tipperary,2119,2013,114964
Tipperary,2764,2014,114964
Tipperary,3539,2015,114964
Tipperary,4148,2016,114964
Tipperary,3560,2017,114964
Tipperary,3331,2018,114964
Waterford,2343,2010,83946
Waterford,2282,2011,83946
Waterford,1973,2012,83946
Waterford,1762,2013,83946
Waterford,2417,2014,83946
Waterford,2999,2015,83946
Waterford,3690,2016,83946
Waterford,3444,2017,83946
Waterford,3292,2018,83946
Westmeath,1453,2010,63017
Westmeath,1504,2011,63017
Westmeath,1294,2012,63017
Westmeath,1252,2013,63017
Westmeath,1581,2014,63017
Westmeath,1922,2015,63017
Westmeath,2210,2016,63017
Westmeath,1888,2017,63017
Westmeath,1786,2018,63017
Wexford,2337,2010,106991
Wexford,2263,2011,106991
Wexford,1812,2012,106991
Wexford,1823,2013,106991
Wexford,2571,2014,106991
Wexford,2962,2015,106991
Wexford,3486,2016,106991
Wexford,3069,2017,106991
Wexford,3174,2018,106991
Wicklow,2103,2010,101110
Wicklow,1926,2011,101110
Wicklow,1635,2012,101110
Wicklow,1539,2013,101110
Wicklow,2006,2014,101110
Wicklow,2810,2015,101110
Wicklow,3217,2016,101110
Wicklow,2768,2017,101110
Wicklow,2726,2018,101110
